"","id","sexe","age_day","age_year","fratrie","canton_residence","formation_m","formation_p","habitat","filiere","liquide","loisirs","taches_domestiques","etudes","sommeil","distance","mobilite","pays","avion","frequence_facebook","frequence_twitter","frequence_instagram","frequence_snapchat","frequence_jodel","frequence_tiktok","reseau_facebook","reseau_instagram","opinion_algorithmes","opinion_queer","opinion_quotas","opinion_desobeissance","opinion_vols","opinion_logiciele","opinion_laffinite","opinion_crainte","opinion_comparison","opinion_questionnaire"
"184","SA14",2,7099,19,2,1,2,2,1,1,82.7,12,7,20,56,23.3,3,9,5,5,5,4,3,5,4,0,275,1,3,2,1,4,2,2,1,2,4
"185","SA18",2,7815,21,3,3,2,3,0,4,29.7,15,5,40,56,35,3,7,1,5,5,4,4,5,5,0,158,1,3,3,2,3,3,2,2,NA,3
"186","SA20",2,9000,25,2,3,1,4,0,1,820,7,3,16,40,5000,3,4,1,3,4,3,1,4,4,2003,103,2,1,3,1,1,3,2,2,2,4
"187","SC11",1,7102,19,2,5,4,4,0,1,3.2,2,2,18,54,1.4,3,14,4,5,1,1,1,5,5,0,442,2,1,2,3,4,2,2,3,3,4
"188","SD26",1,7185,19,1,1,5,3,1,3,12.2,12,0,20,70,23,3,15,10,5,5,4,1,5,5,0,526,3,4,4,4,2,3,1,2,2,2
"189","SF29",1,7920,21,1,9,5,5,0,3,0,28,3,25,56,1.5,3,17,3,4,4,4,3,5,5,700,60,2,2,4,3,3,2,2,3,2,4
"190","SH12",2,8036,22,2,4,1,1,1,4,49.95,15,3,23,42.15,22.55,3,9,0,4,5,4,1,5,5,1323,946,3,2,3,1,3,4,2,2,2,3
"191","SK20",2,7350,20,1,1,4,2,1,3,9.4,20,2,18,48,13,4,13,4,4,4,4,4,5,5,815,1004,1,1,3,4,4,3,3,4,3,3
"192","SK23",2,7127,19,2,5,1,5,0,2,25,15,7,42,56,0.28,1,13,6,5,5,5,5,5,5,0,0,2,2,4,3,2,2,3,3,3,2
"193","SL11",2,8030,22,3,9,5,4,0,2,39,10,15,40,56,NA,3,9,6,4,5,4,4,5,5,2441,761,2,3,3,3,2,3,2,4,2,3
"194","SP26",2,7459,20,1,1,5,2,1,1,38.8,10,2,7,60,3.5,4,15,10,4,4,3,1,5,5,442,806,1,1,3,3,4,3,1,4,2,3
"195","SP27",2,7025,19,0,1,5,4,1,1,62.25,2,2,35,56,3,3,14,6,4,2,1,1,5,5,4,1023,1,3,3,3,4,3,2,4,2,3
"196","SS02",2,7056,19,1,5,3,1,0,1,20,14,7,35,56,2,2,14,2,5,5,4,4,5,5,0,132,2,2,4,3,4,2,2,3,3,3
"197","SS06",2,7938,21,4,1,3,3,1,4,5.15,10,6,10,56,7.9,3,14,1,4,4,3,2,5,5,826,568,2,4,3,1,4,3,2,3,3,3
"198","SS06",2,8640,24,4,5,5,5,0,2,90,7,24,30,56,7782.83,3,6,3,4,5,4,4,5,5,50,18,1,4,3,1,3,3,3,4,1,1
"199","SS06",2,8640,24,4,5,5,5,0,2,269.05,6,6,25,56,80,3,5,5,4,5,4,4,5,5,40,18,1,4,1,1,3,4,1,4,1,3
